user_id,age_range,gender,merchant_id,label,activity_log
34176,6,0,944,-1,408895:1505:7370:1107:0
34176,6,0,412,-1,17235:1604:4396:0818:0#954723:1604:4396:0818:0#275437:1604:4396:0818:0#548906:1577:4396:1031:0#368206:662:4396:0818:0#480007:1604:4396:0818:0#954723:1604:4396:0818:0#236488:1505:4396:1024:0
34176,6,0,1945,-1,231901:662:2758:0818:0#231901:662:2758:0818:0#108465:662:2758:0820:0#231901:662:2758:0820:0#231901:662:2758:0820:0#840446:1142:2758:0820:0#231901:662:2758:0819:0
34176,6,0,4752,-1,174142:821:6938:1027:0
34176,6,0,643,-1,716371:1505:968:1024:3
34176,6,0,2828,-1,996061:662:540:0602:0
34176,6,0,3906,0,757713:821:6268:1110:0#757713:821:6268:1110:0#757713:821:6268:1110:0#718096:1142:6268:1031:3#757713:821:6268:1031:3#613698:821:6268:1021:0#757713:821:6268:1108:0#757713:821:6268:1029:0#1093165:1397:6268:1027:0#898580:662:6268:1027:0#569051:1577:6268:1027:0#185202:821:6268:1027:0#757713:821:6268:1111:2#757713:821:6268:1111:0#757713:821:6268:1111:0#757713:821:6268:1111:0#757713:821:6268:1107:0#757713:821:6268:1107:0#965699:662:6268:1027:0#187402:1577:6268:1027:0#757713:821:6268:1027:0#569051:1577:6268:1027:0#702940:662:6268:1027:0#832131:662:6268:1027:0#48054:302:6268:1027:0#757713:821:6268:1027:0#320263:662:6268:1027:0#468438:821:6268:1027:0#963534:821:6268:1027:0#613698:821:6268:1027:0#757713:821:6268:1027:0#963534:821:6268:1027:0#157439:662:6268:1027:0#475546:1397:6268:1027:0#246109:821:6268:1027:0#757713:821:6268:1027:0#523545:662:6268:1027:0#198962:1577:6268:1027:0#613698:821:6268:1020:0
34176,6,0,1617,-1,951186:420:4073:1023:3
34176,6,0,2387,-1,801430:662:6040:1007:0
34176,6,0,4179,-1,209509:821:6039:1027:0#699235:821:6039:1107:0#915857:821:6039:1027:0#209509:821:6039:1027:0#699235:821:6039:1027:0
34176,6,0,1890,-1,887906:1467:5683:0911:0#476134:1467:5683:0911:0
34176,6,0,420,-1,863054:11:4058:0521:0
34176,6,0,1743,-1,560832:1252:4290:1013:0#346111:1252:4290:0820:0
34176,6,0,1253,-1,6994:656:328:1107:0#576183:656:328:1107:0
34176,6,0,1029,-1,291339:821:3078:1027:0
34176,6,0,3591,-1,198858:35:7292:0529:0
34176,6,0,1663,-1,1066192:302:4874:0621:0#1066192:302:4874:0621:2
34176,6,0,3700,-1,478025:662:2204:0818:0
34176,6,0,1138,-1,516503:662:4104:0713:0
34176,6,0,2664,-1,14098:602:8154:0824:0
34176,6,0,1810,-1,455154:302:6848:1027:0#640560:821:6848:1027:0
34176,6,0,1250,-1,106437:761:5748:1029:0#882723:761:5748:1107:0
34176,6,0,3035,-1,510117:1389:3158:1104:0#47356:1095:3158:1104:0
34176,6,0,3511,-1,1071692:662:4254:0602:0#974447:1577:4254:0602:0#1071692:662:4254:0602:0#794535:662:4254:0602:0#1071692:662:4254:0602:0#1071692:662:4254:0601:0#1071692:662:4254:0601:0#1071692:662:4254:0601:0#549726:387:4254:0601:0
34176,6,0,1719,-1,411262:662:2276:1018:0
34176,6,0,4785,-1,649526:1271:1422:0722:0#649526:1271:1422:0722:0#649526:1271:1422:0722:2#649526:1271:1422:0803:0
34176,6,0,158,-1,104477:1095:99:1110:0
34176,6,0,4246,-1,48891:662:2581:0818:0
34176,6,0,641,-1,585783:420:4265:1110:0
34176,6,0,644,-1,1031725:1095:6455:1110:0
34176,6,0,121,0,800752:1028:2337:1110:0#800752:1028:2337:1110:0#800752:1028:2337:1110:0#800752:1028:2337:1110:0#800752:1028:2337:1108:0#800752:1028:2337:1108:0#800752:1028:2337:1108:0#800752:1028:2337:1108:0#800752:1028:2337:1111:2#800752:1028:2337:1111:0#800752:1028:2337:1111:0#800752:1028:2337:1111:0#800752:1028:2337:1111:0#800752:1028:2337:1111:0
34176,6,0,3677,-1,449045:1577:5434:1110:0
34176,6,0,2382,-1,611609:664:1272:0617:0#611609:664:1272:0617:2#611609:664:1272:0617:0#611609:664:1272:0617:0#611609:664:1272:0621:0
