2537,1
1093,1
4044,1
361,1
1487,1
1255,1
4005,1
2217,1
3835,1
4976,1
608,1
4043,1
2637,1
4842,1
4504,1
2217,1
4043,1
3041,1
2273,1
3828,1
1618,1
4173,1
4173,1
4043,1
685,1
1090,1
4282,1
215,1
3179,1
1742,1
66,1
4083,1
4585,1
2229,1
669,1
4392,1
3734,1
2820,1
4143,1
1892,1
121,1
1346,1
296,1
598,1
4015,1
3578,1
4427,1
4173,1
1892,1
4494,1
3323,1
1393,1
4170,1
1454,1
1618,1
2856,1
4287,1
1103,1
1103,1
1090,1
1346,1
1200,1
2081,1
310,1
3016,1
941,1
4765,1
4170,1
2159,1
4173,1
3545,1
2465,1
3538,1
1031,1
4585,1
4933,1
2454,1
4209,1
4282,1
682,1
4325,1
4282,1
1168,1
4818,1
4950,1
3898,1
588,1
2537,1
3828,1
4775,1
4659,1
4009,1
2954,1
361,1
4864,1
2278,1
4525,1
685,1
3898,1
1944,1
3152,1
4394,1
3609,1
3828,1
2467,1
4305,1
1203,1
1393,1
472,1
4659,1
1102,1
3105,1
4818,1
3635,1
4871,1
1102,1
1272,1
3828,1
4976,1
3085,1
1019,1
474,1
3828,1
1272,1
4287,1
1346,1
4605,1
2397,1
361,1
3826,1
4976,1
2545,1
3323,1
2397,1
4894,1
4950,1
4043,1
4287,1
4356,1
3828,1
1489,1
3323,1
1340,1
4775,1
3990,1
3938,1
839,1
4048,1
2891,1
4048,1
4992,1
4976,1
3472,1
2403,1
3889,1
3319,1
1628,1
3898,1
1239,1
3841,1
2138,1
3111,1
1494,1
2273,1
2780,1
4173,1
474,1
66,1
3323,1
3266,1
1102,1
953,1
1710,1
4976,1
4760,1
1968,1
3323,1
2565,1
3543,1
4173,1
1574,1
2435,1
643,1
3319,1
523,1
742,1
1659,1
2482,1
4048,1
3085,1
1056,1
1964,1
798,1
4949,1
4787,1
2138,1
3513,1
742,1
4992,1
897,1
2031,1
4864,1
2278,1
2714,1
4361,1
586,1
1359,1
4267,1
415,1
4756,1
3420,1
1022,1
1861,1
4976,1
4708,1
946,1
2709,1
3420,1
1489,1
